ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
AGCO,113.98999786376953,113.91999816894531,-0.0006140862894644661,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AGEN,3.2699999809265137,3.2699999809265137,0.0,0.0,True,5512.0,0.0,False,False,,True,5512.0,0.0,False,False,,True,5512.0,0.0,False,False,
AGEN,5.719900131225586,5.71999979019165,1.7423200366906144e-05,0.0,True,7241.0,0.00017423200366906144,False,False,,True,8603.0,8.711600183453072e-05,False,False,,False,,,False,False,
AGEN,5.010000228881836,5.005000114440918,-0.0009980267889196925,0.0,True,6979.0,-0.009980267889196925,False,False,,True,9853.0,-0.004990133944598463,False,False,,False,,,False,False,
AGEN,5.809999942779541,5.829999923706055,0.00344233754276857,0.0,True,8516.0,0.0344233754276857,False,False,,False,,,False,False,,False,,,False,False,
AGEN,4.829899787902832,4.820000171661377,-0.0020496525137539967,0.0,True,5579.0,-0.020496525137539967,False,False,,True,7115.0,-0.010248262568769984,False,False,,False,,,False,False,
AGEN,3.299999952316284,3.299999952316284,0.0,0.0,True,6989.0,0.0,False,False,,True,6989.0,0.0,False,False,,True,6989.0,0.0,False,False,
AGEN,3.305000066757202,3.309999942779541,0.0015128217613757933,0.0,True,6996.0,0.015128217613757933,False,False,,True,6996.0,0.007564108806878966,False,False,,True,6996.0,0.0030256435227515865,False,False,
AGEN,5.684999942779541,5.710000038146973,0.004397554198603659,0.0,True,8604.0,0.04397554198603659,False,False,,True,9993.0,0.021987770993018296,False,False,,False,,,False,False,
AGEN,5.01,5.0,-0.001996007984031878,114.0,True,7390.0,-0.01996007984031878,False,False,,True,10264.0,-0.00998003992015939,False,False,,False,,,False,False,
AGL,112.81999969482422,112.8499984741211,0.00026589948039368316,0.0,True,7235.0,0.0026589948039368316,False,True,20313.0,False,,,False,True,27250.0,False,,,False,False,
AGNC,10.639900207519531,10.640000343322754,9.411347970278428e-06,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
