ticker,et,items,p_pre,entry,baseline_usd_per_min,gate_usd,rvol,entry_lag_min,moved_at_entry,r15m,r60m,r1d,r5d,fwd_up,fwd_dn
ACEL,2026-07-14 16:50:31-04:00,"5.02,7.01,9.01",12.5,12.369999885559082,6264.720153808594,0.0,0.0,999.4833333333333,-0.010400009155273393,-0.007275679338765273,0.002425200747674605,0.00848831826047336,0.0016168241411438355,0.05773646131316412,-0.05173000917053849
ACEL,2026-07-13 16:28:48-04:00,"5.02,9.01",12.72,12.729999542236328,6568.967655658722,0.0,0.0,1021.2,0.0007861275343024055,-0.007855414877559586,-0.016889175698729386,-0.030636245378837246,-0.05363702779634849,0.027824067234566208,-0.07854673214081842
ACGL,2026-07-28 16:04:34-04:00,"2.02,9.01",106.48,103.06999969482422,221886.71383666992,0.0,0.0,1045.4333333333334,-0.0320247962544683,-0.007373650319983827,0.006209366367938118,0.014359176380691396,-0.031968547382374535,0.025128591975878578,-0.03812942967703459
ACHC,2026-07-28 16:57:17-04:00,"2.02,7.01,9.01",32.66999816894531,33.0,89276.73415374756,0.0,0.0,992.7166666666667,0.0101010667141197,-0.1454545223351681,-0.12878787878787878,-0.17303027528705017,-0.1769697015935724,-0.005000027743252811,-0.19272729122277465
ACHV,2026-07-06 16:06:28-04:00,"5.03,5.07,9.01",6.460000038146973,6.429999828338623,7950.960023403168,0.0,0.0,1043.5333333333333,-0.004643995298946657,-0.031104170233984707,-0.019828936333487035,0.006998456842194356,-0.024883336187187743,0.019440124935788283,-0.09642300188354391
ACI,2026-07-23 07:31:10-04:00,"2.02,9.01",14.6,12.5,94770.84753227234,0.0,0.0,118.83333333333333,-0.14383561643835618,-0.045599975585937536,-0.0940000152587891,-0.08799999999999997,-0.07160003662109371,-0.003199996948242134,-0.13120002746582027
ACI,2026-07-23 07:29:06-04:00,"5.02,9.01",14.6,12.5,94770.84753227234,0.0,0.0,120.9,-0.14383561643835618,-0.045599975585937536,-0.0940000152587891,-0.08799999999999997,-0.07160003662109371,-0.003199996948242134,-0.13120002746582027
ACNB,2026-07-23 08:45:35-04:00,"2.02,9.01",60.459999084472656,60.869998931884766,31262.21929550171,0.0,0.0,44.416666666666664,0.006781340615623854,0.018071337409571786,0.017578441163134784,0.06965667410659027,0.04756038292366749,0.07220306447979086,-0.0057499339619301315
ACNT,2026-07-21 13:40:36-04:00,"1.01,9.01",15.149999618530273,15.1899995803833,8722.750043869019,2749.3899240493774,0.10506586837950448,45.4,0.0026402615749312464,-0.0026333089504942953,-0.0006582801503453029,0.013824887685854215,0.013824887685854215,0.024358186270869053,-0.022383094687682292
ACR,2026-07-24 16:09:24-04:00,"8.01,9.01",17.65,17.56999969482422,9437.925019264221,0.0,0.0,3920.6,-0.0045325951940952125,0.01707462433807283,0.030734223935977356,0.005691541446024351,0.005691541446024351,0.06260673879201972,-0.012521304335554428
ACTU,2026-07-17 16:30:34-04:00,3.01,1.4450000524520874,1.5299999713897705,1879.0919923782349,0.0,0.0,3899.4333333333334,0.0588234711780411,-0.04248362040956577,-0.10457514353811614,-0.22875818979521712,-0.2549019562011038,0.0,-0.32679739173186173
ACU,2026-07-23 08:08:37-04:00,"2.02,9.01",45.9,48.5,23066.750373840332,0.0,0.0,81.38333333333334,0.056644880174292034,0.048865957358448675,0.08144329896907232,0.19794023651437653,0.17340205870952796,0.23855669473864372,-0.048041274867106964
ACU,2026-07-21 16:15:15-04:00,"1.01,1.02,2.03,9.01",46.62,46.599998474121094,21135.569660186768,0.0,0.0,1034.75,-0.0004290331591356722,-0.008154447765250428,0.07832621556642128,0.2586910021439255,0.2212446719073733,0.2890558296516592,-0.02768234212596521
ADBE,2026-07-17 16:14:16-04:00,5.02,237.2899932861328,234.99000549316406,1573058.0357666016,0.0,0.0,3915.733333333333,-0.009692729816024537,-0.02600110841960601,-0.03053322645233325,-0.001404322836463301,-0.0708541162009454,0.007106677432687114,-0.072300970662594
ADEA,2026-07-28 16:05:15-04:00,5.02,25.139999389648438,25.030000686645508,42579.839263916016,0.0,0.0,1044.75,-0.004375445730846805,-0.002117515076093146,-0.052137445840025554,-0.03615663850654072,-0.03615663850654072,0.009988014108740506,-0.07411112260075481
ADNT,2026-07-10 12:15:14-04:00,5.02,20.190000534057617,20.209999084472656,24355.5,23443.59893798828,0.3208529071186971,1.7666666666666666,0.0009905175773177177,-0.0032161617839420176,-0.003463616922080859,-0.04997517898499981,-0.020534340770829385,0.020534435147312236,-0.0653141887491907
ADSK,2026-07-13 16:13:32-04:00,8.01,212.22,204.13999938964844,484576.2010498047,0.0,0.0,1036.4666666666667,-0.038073699982808185,0.0073968576043432765,0.01400999617371701,0.008523589195485792,0.06914375201021872,0.08655823563131326,-0.0018124577167323297
