accession,ticker,items,et,chars,event_category,is_binding,transaction_value_usd,value_confidence,has_toxic_financing,toxic_signals,revenue,market_cap,shock,key,up20,dn20,fwd_up,fwd_dn,neg,lng
0000943374-26-000261,SRBK,8.01,2026-07-10 20:29:33+00:00,6118,ADMINISTRATIVE,False,,NONE,False,,,148021788.0,,SRBK|2026-07-10 20:29:00+00:00,False,False,0.06540093556662141,-0.016772093959056433,False,False
0001213900-26-078945,SSII,"8.01,9.01",2026-07-17 13:29:40+00:00,10680,ADMINISTRATIVE,False,,NONE,False,,42484747.0,1521604928.4468412,,SSII|2026-07-17 13:29:00+00:00,False,False,0.12975479396737333,-0.08446871246693977,False,False
0001493152-26-032864,SRXH,"7.01,9.01",2026-07-10 20:50:56+00:00,19489,EARNINGS,False,3.07,HIGH,True,reverse_split,6534000.0,419032267.54945374,4.6985001530456074e-07,SRXH|2026-07-10 20:50:00+00:00,True,False,0.31460679641028344,-0.08110808952990656,True,False
0001213900-26-077784,SSII,"5.02,9.01",2026-07-14 12:35:22+00:00,13356,FDA_APPROVAL,False,,NONE,False,,42484747.0,1521604928.4468412,,SSII|2026-07-14 12:35:00+00:00,False,False,0.12059462881610683,-0.09189193194760592,False,True
0001193125-26-316995,SRPT,"5.02,7.01,9.01",2026-07-27 13:08:03+00:00,22208,ADMINISTRATIVE,False,,NONE,False,,1864296000.0,2271837433.5,,SRPT|2026-07-27 13:08:00+00:00,False,False,0.00330630023558931,-0.0958821908676355,False,False
0001493152-26-033350,SRXH,"7.01,9.01",2026-07-15 19:45:14+00:00,39728,ADMINISTRATIVE,False,3.07,HIGH,False,,6534000.0,419032267.54945374,4.6985001530456074e-07,SRXH|2026-07-15 19:45:00+00:00,False,False,0.14897780948215056,-0.1066666709052192,False,False
0001213900-26-075763,SSII,"8.01,9.01",2026-07-07 12:30:38+00:00,12283,ADMINISTRATIVE,False,,NONE,False,,42484747.0,1521604928.4468412,,SSII|2026-07-07 12:30:00+00:00,False,False,0.12363146768536648,-0.08943093685836168,False,False
0001104659-26-082912,SSB,"5.02,9.01",2026-07-13 12:58:31+00:00,4846,ADMINISTRATIVE,False,,NONE,False,,,9080470526.906128,,SSB|2026-07-13 12:58:00+00:00,False,False,0.04381749993531492,-0.0061024471382404855,False,False
0001193125-26-314097,SSNC,"2.02,9.01",2026-07-23 20:10:26+00:00,63408,DEBT_SETTLEMENT,False,,NONE,True,convertible,6272200000.0,20148202882.5,,SSNC|2026-07-23 20:10:00+00:00,False,False,0.10436219359198295,-0.016979615067358567,True,False
0001479094-26-000025,STAG,"2.02,9.01",2026-07-28 20:07:48+00:00,4560,EARNINGS,False,,NONE,False,,845184000.0,7212093372.74358,,STAG|2026-07-28 20:07:00+00:00,False,False,0.001613469702250958,-0.05895494623298525,False,False
0001104659-26-085810,STAG,"1.01,2.03,9.01",2026-07-22 20:15:20+00:00,8803,DEBT_SETTLEMENT,True,,NONE,False,,845184000.0,7212093372.74358,,STAG|2026-07-22 20:15:00+00:00,False,False,0.0018159991361974548,-0.061743324071839356,False,False
0001628280-26-049817,SSD,"2.02,7.01,9.01",2026-07-27 20:20:03+00:00,28194,DEBT_SETTLEMENT,False,3.7,HIGH,False,,2332808000.0,7216023274.818817,1.5860713783560414e-09,SSD|2026-07-27 20:20:00+00:00,False,False,0.037110466358880156,-0.07142153502524473,False,False
0001104659-26-080628,SSB,"7.01,9.01",2026-07-06 13:39:50+00:00,7344,ADMINISTRATIVE,False,,NONE,False,,,9080470526.906128,,SSB|2026-07-06 13:39:00+00:00,False,False,0.0058368580344136944,-0.038614249276725965,False,False
0001193125-26-298586,SR,"7.01,9.01",2026-07-08 20:32:04+00:00,10059,EARNINGS,False,,NONE,False,,2476400000.0,5128098788.282776,,SR|2026-07-08 20:32:00+00:00,False,False,0.05457270526299918,-0.01056449602119236,False,False
0001805833-26-000044,SST,"3.03,5.02,5.03,5.07,8.01,9.01",2026-07-24 13:07:17+00:00,11448,DEBT_SETTLEMENT,False,,NONE,True,convertible,266129000.0,4344152685.0,,SST|2026-07-24 13:07:00+00:00,False,False,0.14594586931762343,-0.07762161361047881,True,False
0001104659-26-086278,SSB,"2.02,7.01,8.01,9.01",2026-07-23 20:25:00+00:00,118253,EARNINGS,False,,NONE,False,,,9080470526.906128,,SSB|2026-07-23 20:25:00+00:00,False,False,0.030215841974857716,-0.0044124612419439435,False,False
0001140361-26-028035,SSTK,1.02,2026-07-09 10:03:55+00:00,3829,MA_ACTIVITY,True,,NONE,False,,989925000.0,897850186.0447712,,SSTK|2026-07-09 10:03:00+00:00,False,False,0.01697040687679574,-0.18337126487957367,False,True
0001104659-26-084341,STC,"7.01,9.01",2026-07-16 23:30:41+00:00,21316,DEBT_SETTLEMENT,False,,NONE,False,,2921636000.0,2075810478.1310577,,STC|2026-07-16 23:30:00+00:00,False,False,0.017105883979944503,-0.1321561360004606,False,False
0001104659-26-085825,STC,"2.02,9.01",2026-07-22 20:30:31+00:00,49470,ADMINISTRATIVE,False,,NONE,False,,2921636000.0,2075810478.1310577,,STC|2026-07-22 20:30:00+00:00,False,False,0.0952602502857478,-0.025557586331754867,False,False
0000719220-26-000090,STBA,"7.01,9.01",2026-07-27 20:00:35+00:00,3690,ADMINISTRATIVE,False,,NONE,False,,,1378538873.0556793,,STBA|2026-07-27 20:00:00+00:00,False,False,0.02118726137207938,-0.0007635219697148532,False,False
0000874238-26-000095,STRL,5.02,2026-07-10 20:02:29+00:00,2900,ADMINISTRATIVE,False,,NONE,False,,2490049000.0,11530028506.796417,,STRL|2026-07-10 20:02:00+00:00,False,False,0.06080807376733599,-0.054275845810298096,False,False
0001140361-26-029293,SSTK,"5.02,8.01,9.01",2026-07-22 20:45:45+00:00,8871,ADMINISTRATIVE,False,,NONE,False,,989925000.0,897850186.0447712,,SSTK|2026-07-22 20:45:00+00:00,False,True,0.020100535907413564,-0.2456896593067034,False,False
0000719220-26-000087,STBA,"2.02,7.01,8.01,9.01",2026-07-23 11:20:09+00:00,51491,DILUTION_OFFERING,False,133400000.0,HIGH,False,,,1378538873.0556793,,STBA|2026-07-23 11:20:00+00:00,False,False,0.0490196078431373,-0.03519604252833941,True,False
0001193125-26-308921,STIM,"5.02,7.01,9.01",2026-07-20 20:10:04+00:00,21607,DEBT_SETTLEMENT,False,,NONE,False,,149157000.0,191761984.30615425,,STIM|2026-07-20 20:10:00+00:00,False,False,0.022727311040634524,-0.14646462578759412,False,False
0001140361-26-028338,SSTK,"5.02,7.01,8.01,9.01",2026-07-13 21:09:48+00:00,10150,MA_ACTIVITY,False,,NONE,False,,989925000.0,897850186.0447712,,SSTK|2026-07-13 21:09:00+00:00,False,False,0.04879591363239988,-0.09125472780424215,False,True
0000912593-26-000231,SUI,"2.02,9.01",2026-07-27 20:32:29+00:00,3326,ADMINISTRATIVE,False,,NONE,False,,2306100000.0,15725784368.222084,,SUI|2026-07-27 20:32:00+00:00,False,False,0.029570172959512364,-0.019284804783743947,False,False
0000874238-26-000093,STRL,"1.01,2.03,7.01,9.01",2026-07-08 13:07:06+00:00,13551,DEBT_SETTLEMENT,True,,NONE,False,,2490049000.0,11530028506.796417,,STRL|2026-07-08 13:07:00+00:00,False,False,0.05416873566012237,-0.048513237183417046,False,False
0001137789-26-000153,STX,"2.02,7.01,9.01",2026-07-28 20:07:21+00:00,5882,ADMINISTRATIVE,False,,NONE,False,,9097000000.0,48983809194.654175,,STX|2026-07-28 20:07:00+00:00,False,False,0.14073416794402682,-0.0537341926671282,False,False
0001104659-26-085277,STLD,"2.02,9.01",2026-07-21 13:42:18+00:00,46543,EARNINGS,False,,NONE,False,,18176581000.0,22319159065.407593,,STLD|2026-07-21 13:42:00+00:00,False,False,0.11802816767203028,-0.007164255902028405,False,False
0001140361-26-028370,SUIG,"5.02,8.01,9.01",2026-07-14 13:06:59+00:00,3509,ADMINISTRATIVE,False,,NONE,False,,3898631.0,184748958.0,,SUIG|2026-07-14 13:06:00+00:00,False,True,0.08620691958562432,-0.25853448616940977,False,False
0001493152-26-032598,STXS,"3.02,7.01,8.01,9.01",2026-07-09 12:13:39+00:00,18667,COMMERCIAL_CONTRACT,False,,NONE,False,,32377000.0,264709012.3963337,,STXS|2026-07-09 12:13:00+00:00,False,False,0.016666717440995127,-0.1888888462090187,True,False
0001140361-26-028055,SUIG,"1.01,5.02,8.01,9.01",2026-07-09 13:01:18+00:00,13841,ADMINISTRATIVE,True,,NONE,False,,3898631.0,184748958.0,,SUIG|2026-07-09 13:01:00+00:00,False,True,0.0762712181179539,-0.27110168684182956,False,False
0001104659-26-080829,SVC,"5.03,9.01",2026-07-06 21:22:01+00:00,5308,ADMINISTRATIVE,False,,NONE,True,reverse_split,1413403000.0,1802096995.8261776,,SVC|2026-07-06 21:22:00+00:00,False,False,0.011210805001615531,-0.06950671303319966,True,False
0001104659-26-082685,STWD,"1.01,2.03,9.01",2026-07-10 16:37:34+00:00,12310,DEBT_SETTLEMENT,True,,NONE,False,,1844289000.0,6652553733.315067,,STWD|2026-07-10 16:37:00+00:00,False,False,0.03475374797751307,-0.01239044561866054,False,False
